the-year,Annual-Average-Temperature-(Celsius),Global-carbon-emissions-(billion tonnes of CO2),Co2-concentration (ppm),,,,,,,,,,,
1959,14.03,8.854689147,315.98,,,,,,,,,,,
1960,13.97,9.387010408,316.91,,,,,,,,,,,
1961,14.06,9.415042136,317.64,,,,,,,,,,,
1962,14.03,9.747287164,318.45,,,,,,,,,,,
1963,14.05,10.26677221,318.99,,,,,,,,,,,
1964,13.8,10.8244661,319.62,,,,,,,,,,,
1965,13.89,11.31060044,320.04,,,,,,,,,,,
1966,13.94,11.86264632,321.37,,,,,,,,,,,
1967,13.98,12.23736928,322.18,,,,,,,,,,,
1968,13.92,12.90528307,323.05,,,,,,,,,,,
1969,14.05,13.76178529,324.62,,,,,,,,,,,
1970,14.03,14.89912444,325.68,,,,,,,,,,,
1971,13.92,15.50385472,326.32,,,,,,,,,,,
1972,14.01,16.22459665,327.46,,,,,,,,,,,
1973,14.16,17.0850929,329.68,,,,,,,,,,,
1974,13.93,17.01107168,330.19,,,,,,,,,,,
1975,13.99,17.05275263,331.13,,,,,,,,,,,
1976,13.9,17.98911207,332.03,,,,,,,,,,,
1977,14.18,18.49863422,333.84,,,,,,,,,,,
1978,14.07,19.06929054,335.41,,,,,,,,,,,
1979,14.16,19.60902029,336.84,,,,,,,,,,,
1980,14.26,19.48852441,338.76,,,,,,,,,,,
1981,14.32,19.02290478,340.12,,,,,,,,,,,
1982,14.14,18.87109791,341.48,,,,,,,,,,,
1983,14.31,18.99191043,343.15,,,,,,,,,,,
1984,14.16,19.64780142,344.87,,,,,,,,,,,
1985,14.12,20.31190163,346.35,,,,,,,,,,,
1986,14.18,20.61496319,347.61,,,,,,,,,,,
1987,14.32,21.2500746,349.31,,,,,,,,,,,
1988,14.39,22.08513001,351.69,,,,,,,,,,,
1989,14.27,22.38663748,353.2,,,,,,,,,,,
1990,14.45,22.7289883,354.45,,,,,,,,,,,
1991,14.41,23.18610144,355.7,,,,,,,,,,,
1992,14.22,22.52817203,356.54,,,,,,,,,,,
1993,14.23,22.75578699,357.21,,,,,,,,,,,
1994,14.31,22.9929469,358.96,,,,,,,,,,,
1995,14.44,23.53208301,360.97,,,,,,,,,,,
1996,14.33,24.25816745,362.74,,,,,,,,,,,
1997,14.46,24.40190571,363.88,,,,,,,,,,,
1998,14.61,24.30377731,366.84,,,,,,,,,,,
1999,14.38,24.85372768,368.54,,,,,,,,,,,
2000,14.39,25.5105528,369.71,,,,,,,,,,,
2001,14.53,25.70629345,371.32,,,,,,,,,,,
2002,14.63,26.27686873,373.45,,,,,,,,,,,
2003,14.62,27.66948979,375.98,,,,,,,,,,,
2004,14.53,28.63250593,377.7,,,,,,,,,,,
2005,14.68,29.6143941,379.98,,,,,,,,,,,
2006,14.64,30.6283961,382.09,,,,,,,,,,,
2007,14.66,31.53464403,384.02,,,,,,,,,,,
2008,14.54,32.07419856,385.83,,,,,,,,,,,
2009,14.66,31.54192194,387.64,,,,,,,,,,,
2010,14.73,33.35590344,390.1,,,,,,,,,,,
2011,14.61,34.50453812,391.85,,,,,,,,,,,
2012,14.65,35.00002034,394.06,,,,,,,,,,,
2013,14.68,35.30165585,396.74,,,,,,,,,,,
2014,14.75,35.45009475,398.81,,,,,,,,,,,
2015,14.9,35.40489697,401.01,,,,,,,,,,,
2016,15.01,35.41665608,404.41,,,,,,,,,,,
2017,14.92,35.98989788,406.76,,,,,,,,,,,
2018,14.85,36.73042656,408.72,,,,,,,,,,,
2019,14.98,37.10427786,411.65,,,,,,,,,,,
2020,15.01,35.12652612,414.21,,,,,,,,,,,
2021,14.85,36.99173628,416.41,,,,,,,,,,,
2022,14.89,37.29383639,418.53,,,,,,,,,,,
2023,15.17,37.79156871,421.08,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Y = 0.01X + 10.75
,,,,,,,,,,,,,,Y = 0.01X + 10.57
